Original Order,'ICD-9-CM CODE','SURGERY FLAG','ICD-9-CM CODE DESCRIPTION',System,Reop/Revision,REVIS,POSTOP,,HCUP SURGERY FLAGS 1=BROAD 2=NARROW
1,'0050','2',IMPLA RESYNCHR PACEMAKER W/0 (Begin 2002),Vascular,0,,,,
2,'0051','2',IMPLA RESYNCHRONIZATION DEFI (Begin 2002),Vascular,0,,,,
3,'0052','2',IMPL/REPL TRANSVENOUS LEAD L (Begin 2002),Vascular,0,,,,
4,'0053','2',IMPL/REPL PACEMAKER PLSE GE (Begin 2002),Vascular,0,,,,
5,'0054','2',IMPL/REPL DEFIBRIL GENERATOR (Begin 2002),Vascular,0,,,,
6,'0055','2',INSERTION OF DRUG-ELUTING STENT(S) OF OTHER PERIPHERAL VESSEL(S),Vascular,0,,,,
7,'0056','2',INS/REP IMPL SENSOR LEAD (Begin 2006),Vascular,0,,,,
8,'0057','2',IMP/REP SUBCUE CARD DEV  (Begin 2006),Vascular,0,,,,
9,'0058','1',INS INTRA-ANSM PRES MNTR (begin 2008),Vascular,0,,,,
10,'0059','1',INTRAVASC MSMNT COR ART (begin 2008),Vascular,0,,,,
11,'0060','2',INSERTION OF DRUG-ELUTING STENT(S) OF SUPERFICIAL FEMORAL ARTERY,Vascular,0,,,,
12,'0061','2',PERC ANGIO PRECEREB VESS (Begin 2004),Vascular,0,,,,
13,'0062','2',PERC ANGIO INTRACRAN VES (Begin 2004),Vascular,0,,,,
14,'0063','1',PERCUTANEOUS INSERTION OF CAROTID ARTERY STENT(S),Vascular,0,,,,
15,'0064','1',PERCUTANEOUS INSERTION OF OTHER EXTRACRANIAL ARTERY STENT(S),Vascular,0,,,,
16,'0065','1',PERCUTANEOUS INSERTION OF INTRACRANIAL VASCULAR STENT(S),Vascular,0,,,,
17,'0066','2',PTCA OR CORONARY ATHER (Begin 2005),Vascular,0,,,,
18,'0067','1',INTRAVAS MSMNT THORC ART (begin 2008),Vascular,0,,,,
19,'0068','1',INTRAVAS MSMT PERIPH ART (begin 2008),Vascular,0,,,,
20,'0069','1',INTRAVS MSMT VES NEC/NOS (begin 2008),Vascular,0,,,,
21,'0070','2',REV HIP REPLACETAB/FEM (Begin 2005),Musculoskeletal,1,1,,,
22,'0071','2',REV HIP REPLACETAB COMP (Begin 2005),Musculoskeletal,1,1,,,
23,'0072','2',REV HIP REPLFEM COMP (Begin 2005),Musculoskeletal,1,1,,,
24,'0073','2',REV HIP REPLLINER/HEAD (Begin 2005),Musculoskeletal,1,1,,,
25,'0080','2',REV KNEE REPLACEMTTOTAL (Begin 2005),Musculoskeletal,1,1,,,
26,'0081','2',REV KNEE REPLTIBIA COMP (Begin 2005),Musculoskeletal,1,1,,,
27,'0082','2',REV KNEE REPLFEMUR COMP (Begin 2005),Musculoskeletal,1,1,,,
28,'0083','2',REV KNEE REPLACEPATELLA (Begin 2005),Musculoskeletal,1,1,,,
29,'0084','2',REV KNEE REPLTIBIA LIN (Begin 2005),Musculoskeletal,1,1,,,
30,'0085','2',RESRF HIPTOTAL-ACET/FEM (Begin 2006),Musculoskeletal,0,,,,
31,'0086','2',RESRF HIPPART-FEM HEAD  (Begin 2006),Musculoskeletal,0,,,,
32,'0087','2',RESRF HIPPART-ACETABLUM (Begin 2006),Musculoskeletal,0,,,,
33,'0101','1',CISTERNAL PUNCTURE,CNS,0,,,,
34,'0102','1',VENTRICL SHUNT TUBE PUNC,CNS,0,,,,
35,'0109','1',CRANIAL PUNCTURE NEC,CNS,0,,,,
36,'0112','1',OPEN CEREB MENINGES BX,CNS,0,,,,
37,'0114','1',OPEN BRAIN BIOPSY,CNS,0,,,,
38,'0115','1',SKULL BIOPSY,CNS,0,,,,
39,'0118','1',OTHER BRAIN DX PROCEDURE,CNS,0,,,,
40,'0119','1',OTHER SKULL DX PROCEDURE,CNS,0,,,,
41,'0120','2',IMP/REPL BRAIN PULSE GEN (Begin 2010),CNS,0,,,,
42,'0121','2',CRANIAL SINUS I & D,CNS,0,,,,
43,'0122','2',REMOV INTRACRAN STIMULAT,CNS,0,,,,
44,'0123','2',REOPEN CRANIOTOMY SITE,CNS,0,,,,
45,'0124','2',OTHER CRANIOTOMY,CNS,0,,,,
46,'0125','2',OTHER CRANIECTOMY,CNS,0,,,,
47,'0126','1',INS CATHCRANIAL CAVITY (Begin 2005),CNS,0,,,,
48,'0128','2',INTRACEREB CTH-BURR HOLE (Begin 2006),CNS,0,,,,
49,'0129','2',REM BRAIN PULSE GENERATR (Begin 2010),CNS,0,,,,
50,'0131','2',INCISE CEREBRAL MENINGES,CNS,0,,,,
51,'0132','2',LOBOTOMY & TRACTOTOMY,CNS,0,,,,
52,'0139','2',OTHER BRAIN INCISION,CNS,0,,,,
53,'0141','2',THALAMUS OPERATIONS,CNS,0,,,,
54,'0142','2',GLOBUS PALLIDUS OPS,CNS,0,,,,
55,'0151','2',EX CEREB MENINGEAL LES,CNS,0,,,,
56,'0152','2',HEMISPHERECTOMY,CNS,0,,,,
57,'0153','2',BRAIN LOBECTOMY,CNS,0,,,,
58,'0159','2',OTHER BRAIN EXCISION,CNS,0,,,,
59,'016 ','2',EXCISE SKULL LESION,CNS,0,,,,
60,'0201','2',LINEAR CRANIECTOMY,CNS,0,,,,
61,'0202','2',ELEVATE SKULL FX FRAGMNT,CNS,0,,,,
62,'0203','2',SKULL FLAP FORMATION,CNS,0,,,,
63,'0204','2',BONE GRAFT TO SKULL,CNS,0,,,,
64,'0205','2',SKULL PLATE INSERTION,CNS,0,,,,
65,'0206','2',CRANIAL OSTEOPLASTY NEC,CNS,0,,,,
66,'0207','2',SKULL PLATE REMOVAL,CNS,0,,,,
67,'0211','2',SIMPLE SUTURE OF DURA,CNS,0,,,,
68,'0212','2',BRAIN MENINGE REPAIR NEC,CNS,0,,,,
69,'0213','2',MENINGE VESSEL LIGATION,CNS,0,,,,
70,'0214','2',CHOROID PLEXECTOMY,CNS,0,,,,
71,'022 ','2',VENTRICULOSTOMY (end 2010),CNS,0,,,,
72,'0221','2',INSERT/REPLACE EVD (Begin 2011),CNS,0,,,,
73,'0222','2',INTRCRAN VENT SHUNT/ANAS (Begin 2011),CNS,0,,,,
74,'0231','2',VENTRICL SHUNTHEAD/NECK,CNS,0,,,,
75,'0232','2',VENTRI SHUNTCIRCULA SYS,CNS,0,,,,
76,'0233','2',VENTRICL SHUNTTHORAX,CNS,0,,,,
77,'0234','2',VENTRICL SHUNTABDOMEN,CNS,0,,,,
78,'0235','2',VENTRI SHUNTUNINARY SYS,CNS,0,,,,
79,'0239','2',OTHER VENTRICULAR SHUNT,CNS,0,,,,
80,'0242','2',REPLACE VENTRICLE SHUNT,CNS,0,,,,
81,'0243','2',REMOVE VENTRICLE SHUNT,CNS,0,,,,
82,'0291','2',LYSIS CORTICAL ADHESION,CNS,0,,,,
83,'0292','2',BRAIN REPAIR,CNS,0,,,,
84,'0293','2',IMPLANT BRAIN STIMULATOR,CNS,0,,,,
85,'0294','2',INSERT/REPLAC SKULL TONG,CNS,0,,,,
86,'0296','1',INSERT SPHENOIDAL ELECTD (Begin 1992),CNS,0,,,,
87,'0299','2',SKULL & BRAIN OP NEC,CNS,0,,,,
88,'0301','2',REMOVAL FB SPINAL CANAL,CNS,0,,,,
89,'0302','2',REOPEN LAMINECTOMY SITE,CNS,0,,,,
90,'0309','2',SPINAL CANAL EXPLOR NEC,CNS,0,,,,
91,'031 ','2',INTRASPIN NERVE ROOT DIV,CNS,0,,,,
92,'0321','2',PERCUTANEOUS CHORDOTOMY,CNS,0,,,,
93,'0329','2',OTHER CHORDOTOMY,CNS,0,,,,
94,'0332','1',SPINAL CORD/MENINGES BX,CNS,0,,,,
95,'0339','1',OTHER SPINAL DX PROC,CNS,0,,,,
96,'034 ','2',EXCIS SPINAL CORD LESION,CNS,0,,,,
97,'0351','2',SPINE MENINGOCELE REPAIR,CNS,0,,,,
98,'0352','2',MYELOMENINGOCEL REPAIR,CNS,0,,,,
99,'0353','2',VERTEBRAL FX REPAIR,CNS,0,,,,
100,'0359','2',SPINAL STRUCT REPAIR NEC,CNS,0,,,,
101,'036 ','2',SPINAL CORD ADHESIOLYSIS,CNS,0,,,,
102,'0371','2',SUBARACHPERITON SHUNT,CNS,0,,,,
103,'0372','2',SUBARACHURETERAL SHUNT,CNS,0,,,,
